area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society4,597,1,2,32.97
Built-up Area,Ready To Move,Nungambakkam,5 BHK,Society2,2848,4,2,128.13
Plot Area,Ready To Move,T. Nagar,1 BHK,Society1,710,1,3,46.65
Plot Area,Under Construction,Tambaram,4 BHK,Society1,2583,4,2,95.26
Carpet Area,Ready To Move,Tambaram,2 BHK,Society4,1765,3,2,84.9
Carpet Area,Under Construction,T. Nagar,3 BHK,Society5,2246,1,2,111.2
Built-up Area,Ready To Move,Adyar,5 BHK,Society5,3734,3,2,254.7
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society5,4315,1,3,171.88
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society4,1984,4,1,138.16
Built-up Area,Ready To Move,Tambaram,1 BHK,Society3,809,1,2,28.3
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society4,3087,3,2,188.96
Plot Area,Under Construction,Adyar,3 BHK,Society4,1902,4,0,55.57
Built-up Area,Under Construction,Medavakkam,5 BHK,Society2,3482,4,2,198.81
Plot Area,Under Construction,Tambaram,1 BHK,Society2,981,2,3,46.17
Built-up Area,Under Construction,Adyar,2 BHK,Society2,1374,2,1,85.46
Plot Area,Ready To Move,Velachery,5 BHK,Society2,3413,3,1,153.3
Plot Area,Under Construction,Anna Nagar,4 BHK,Society1,2242,3,2,156.08
Plot Area,Under Construction,Anna Nagar,3 BHK,Society1,2051,4,2,141.26
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society3,1749,2,1,50.23
Carpet Area,Ready To Move,Nungambakkam,5 BHK,Society1,4545,3,0,136.23
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society3,3930,5,2,218.94
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society5,1060,1,3,72.72
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society1,2947,3,1,189.22
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society5,2102,4,2,66.09
Carpet Area,Under Construction,Velachery,1 BHK,Society1,1019,1,2,28.81
Plot Area,Under Construction,Tambaram,2 BHK,Society5,1198,3,2,75.23
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society5,4413,1,1,252.16
Plot Area,Ready To Move,Velachery,1 BHK,Society2,639,2,3,16.16
Carpet Area,Under Construction,Medavakkam,1 BHK,Society5,948,1,2,27.1
Carpet Area,Ready To Move,Tambaram,2 BHK,Society2,1695,2,2,108.01
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society5,2239,4,2,104.65
Plot Area,Ready To Move,T. Nagar,1 BHK,Society4,841,1,2,22.5
Carpet Area,Under Construction,T. Nagar,1 BHK,Society5,696,1,0,34.26
Plot Area,Ready To Move,T. Nagar,5 BHK,Society2,5917,2,1,220.94
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,2282,1,2,57.24
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society4,4104,5,0,256.56
Carpet Area,Under Construction,Adyar,1 BHK,Society2,738,2,3,33.81
Carpet Area,Ready To Move,Velachery,3 BHK,Society3,3482,2,3,224.68
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society5,1958,2,3,49.57
Built-up Area,Under Construction,Anna Nagar,1 BHK,Society2,614,1,1,27.65
Carpet Area,Ready To Move,Adyar,4 BHK,Society3,2113,1,2,98.08
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society3,1996,4,1,87.96
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society1,1390,1,3,36.75
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society4,1385,3,3,82.77
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society3,3347,3,0,106.42
Plot Area,Under Construction,Anna Nagar,2 BHK,Society3,2083,2,2,114.07
Plot Area,Under Construction,Medavakkam,2 BHK,Society2,2091,3,2,144.87
Plot Area,Under Construction,Velachery,3 BHK,Society5,2911,3,3,135.86
Carpet Area,Ready To Move,Tambaram,5 BHK,Society1,5628,5,0,386.72
Plot Area,Under Construction,Kodambakkam,3 BHK,Society5,3397,4,1,138.63
Carpet Area,Ready To Move,Medavakkam,3 BHK,Society4,1712,4,2,52.73
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society5,674,2,2,31.69
Carpet Area,Under Construction,Adyar,5 BHK,Society5,5523,4,0,280.02
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society5,4646,4,2,242.69
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society2,5232,3,3,241.52
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society4,1102,1,1,35.33
Carpet Area,Under Construction,Medavakkam,5 BHK,Society3,4277,5,1,287.65
Built-up Area,Ready To Move,Adyar,3 BHK,Society4,3245,3,0,125.57
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society3,3819,3,0,207.71
Plot Area,Under Construction,Adyar,5 BHK,Society5,4811,4,0,163.58
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society2,1439,2,1,90.85
Plot Area,Ready To Move,T. Nagar,4 BHK,Society3,4022,3,3,125.32
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society1,3225,4,3,142.23
Carpet Area,Ready To Move,Tambaram,4 BHK,Society2,3402,1,3,237.1
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society1,3358,1,3,217.26
Carpet Area,Under Construction,T. Nagar,5 BHK,Society4,5729,4,0,176.84
Built-up Area,Under Construction,Adyar,3 BHK,Society2,2133,4,0,92.91
Carpet Area,Under Construction,Velachery,4 BHK,Society5,3493,2,1,128.28
Plot Area,Under Construction,Nungambakkam,2 BHK,Society4,1442,1,0,63.1
Carpet Area,Ready To Move,Adyar,3 BHK,Society5,1937,1,2,104.12
Carpet Area,Ready To Move,Adyar,1 BHK,Society1,533,1,3,26.79
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society5,4542,3,3,261.2
Plot Area,Under Construction,Sholinganallur,2 BHK,Society1,1261,2,3,68.06
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society4,1070,1,0,49.34
Plot Area,Under Construction,Sholinganallur,3 BHK,Society2,1950,4,0,123.42
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society5,3497,3,2,181.17
Plot Area,Ready To Move,Tambaram,3 BHK,Society4,1781,1,1,115.03
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society2,2997,2,1,181.42
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society5,1797,2,2,118.54
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society4,3029,3,3,109.61
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society4,4813,5,3,215.12
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society3,2240,1,3,141.49
Plot Area,Under Construction,Medavakkam,3 BHK,Society5,2729,4,1,160.49
Carpet Area,Under Construction,Medavakkam,3 BHK,Society1,1575,3,0,85.15
Plot Area,Ready To Move,Thiruvanmiyur,4 BHK,Society5,3672,4,0,221.84
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society4,2167,2,3,93.22
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society5,4695,5,2,124.75
Plot Area,Ready To Move,Thiruvanmiyur,3 BHK,Society2,3423,3,2,136.48
Plot Area,Ready To Move,Tambaram,1 BHK,Society4,573,2,2,32.07
Plot Area,Ready To Move,Tambaram,3 BHK,Society4,1578,1,3,92.71
Built-up Area,Under Construction,Tambaram,5 BHK,Society5,4057,1,0,243.88
Plot Area,Under Construction,T. Nagar,4 BHK,Society2,4217,5,0,214.97
Carpet Area,Ready To Move,Adyar,2 BHK,Society2,1935,3,3,99.6
Built-up Area,Ready To Move,Adyar,5 BHK,Society5,5865,4,3,280.88
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society2,3367,2,1,94.49
Plot Area,Ready To Move,Adyar,3 BHK,Society2,2319,4,1,111.78
Plot Area,Ready To Move,Velachery,1 BHK,Society4,607,1,3,35.54
Plot Area,Under Construction,Adyar,5 BHK,Society1,3651,1,0,209.14
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society5,2146,3,0,125.93
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society1,4212,3,1,116.69
Plot Area,Under Construction,Sholinganallur,3 BHK,Society3,2498,3,2,83.51
Carpet Area,Under Construction,Medavakkam,3 BHK,Society4,3244,3,0,109.32
Carpet Area,Under Construction,T. Nagar,5 BHK,Society4,3201,3,2,111.91
Built-up Area,Ready To Move,Velachery,4 BHK,Society2,2799,4,1,186.98
Carpet Area,Ready To Move,Velachery,3 BHK,Society5,2650,3,1,121.4
Plot Area,Ready To Move,Velachery,3 BHK,Society2,1708,1,0,44.11
Built-up Area,Ready To Move,Adyar,5 BHK,Society4,4060,4,1,204.3
Plot Area,Under Construction,Medavakkam,2 BHK,Society5,2158,1,2,75.41
Plot Area,Under Construction,Kodambakkam,4 BHK,Society1,3964,1,2,135.01
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society5,3209,1,2,96.99
Plot Area,Ready To Move,Velachery,2 BHK,Society4,2363,3,1,104.72
Plot Area,Ready To Move,Sholinganallur,3 BHK,Society4,1790,1,0,109.43
Built-up Area,Under Construction,Medavakkam,4 BHK,Society3,2916,3,2,86.22
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society5,2675,4,1,86.82
Carpet Area,Under Construction,Adyar,5 BHK,Society5,2979,2,2,142.63
Plot Area,Under Construction,Nungambakkam,4 BHK,Society3,2151,1,3,57.8
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society4,3060,2,2,76.74
Built-up Area,Under Construction,Medavakkam,4 BHK,Society4,4467,3,2,182.13
Built-up Area,Under Construction,Medavakkam,4 BHK,Society2,2718,4,0,171.09
Built-up Area,Under Construction,Medavakkam,5 BHK,Society2,4025,1,3,265.77
Plot Area,Under Construction,Adyar,5 BHK,Society5,3305,5,1,225.74
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society4,1051,3,2,33.07
Plot Area,Under Construction,Velachery,4 BHK,Society1,4659,5,3,292.92
Built-up Area,Under Construction,T. Nagar,5 BHK,Society2,4897,1,3,152.71
Built-up Area,Ready To Move,Sholinganallur,1 BHK,Society4,1016,2,1,58.2
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society4,503,1,1,25.5
Plot Area,Under Construction,Medavakkam,1 BHK,Society3,982,2,2,55.52
Built-up Area,Under Construction,Velachery,4 BHK,Society5,4625,5,2,165.5
Plot Area,Ready To Move,T. Nagar,1 BHK,Society5,1111,1,1,37.47
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society3,5590,4,1,389.95
Plot Area,Under Construction,Tambaram,1 BHK,Society1,1029,1,2,28.51
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society3,1685,3,0,84.82
Carpet Area,Under Construction,Medavakkam,1 BHK,Society4,569,1,1,20.89
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society3,4338,5,2,248.29
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society3,2244,2,3,115.48
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society2,3398,1,1,224.42
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society5,2230,2,2,68.41
Built-up Area,Ready To Move,Thiruvanmiyur,1 BHK,Society4,692,1,2,26.33
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society3,2328,2,2,65.7
Built-up Area,Under Construction,Tambaram,3 BHK,Society4,3567,4,3,162.21
Built-up Area,Under Construction,Medavakkam,4 BHK,Society1,3770,5,1,110.12
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society1,749,1,0,46.51
Carpet Area,Under Construction,Medavakkam,5 BHK,Society3,3910,1,1,150.12
Plot Area,Ready To Move,Medavakkam,3 BHK,Society5,2668,2,2,101.08
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society4,3395,3,1,201.25
Built-up Area,Under Construction,Sholinganallur,5 BHK,Society2,5108,1,2,140.52
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society4,3719,1,2,150.36
Carpet Area,Ready To Move,Nungambakkam,3 BHK,Society4,1830,1,1,91.74
Plot Area,Under Construction,Sholinganallur,5 BHK,Society5,3645,5,2,107.63
Built-up Area,Ready To Move,Tambaram,1 BHK,Society2,883,2,3,31.4
Built-up Area,Ready To Move,Kodambakkam,4 BHK,Society5,4058,5,1,133.06
Carpet Area,Ready To Move,Kodambakkam,1 BHK,Society4,1017,2,2,37.98
Plot Area,Ready To Move,Velachery,5 BHK,Society2,5580,1,2,264.54
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society1,797,1,0,24.28
Built-up Area,Under Construction,T. Nagar,4 BHK,Society4,2483,2,3,113.47
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society3,5127,5,1,237.53
Plot Area,Under Construction,T. Nagar,1 BHK,Society3,647,2,2,41.12
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society1,1502,3,1,66.81
Carpet Area,Under Construction,Tambaram,4 BHK,Society1,3380,1,0,116.84
Carpet Area,Ready To Move,Nungambakkam,5 BHK,Society3,5746,2,2,241.75
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society5,1503,2,3,69.21
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society4,2269,1,0,99.4
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society4,1198,3,3,76.65
Plot Area,Under Construction,Tambaram,1 BHK,Society1,575,2,2,26.72
Plot Area,Ready To Move,T. Nagar,3 BHK,Society3,1729,1,0,49.25
Plot Area,Under Construction,Anna Nagar,5 BHK,Society3,2865,4,1,89.16
Built-up Area,Under Construction,Medavakkam,1 BHK,Society3,1095,1,2,44.84
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society2,1887,3,2,94.18
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society5,2264,3,0,121.9
Built-up Area,Under Construction,Velachery,4 BHK,Society5,4186,3,2,155.07
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society4,1120,2,3,29.4
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society3,4692,5,1,146.82
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society5,1336,3,3,33.61
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society1,2356,4,1,155.85
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society2,3277,3,2,106.49
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society2,2117,3,3,135.53
Carpet Area,Under Construction,Medavakkam,3 BHK,Society2,1874,4,1,72.12
Carpet Area,Ready To Move,Nungambakkam,3 BHK,Society5,2780,2,3,131.02
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society5,687,1,1,39.94
Carpet Area,Under Construction,Medavakkam,1 BHK,Society3,1160,1,3,46.05
Carpet Area,Ready To Move,Adyar,1 BHK,Society5,961,1,0,51.86
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society1,975,1,3,29.94
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society4,2176,4,1,84.46
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,680,1,2,40.55
Plot Area,Under Construction,Medavakkam,5 BHK,Society5,4226,2,0,283.82
Plot Area,Ready To Move,T. Nagar,1 BHK,Society3,960,2,0,36.26
Built-up Area,Ready To Move,Tambaram,2 BHK,Society3,2378,3,0,66.19
Plot Area,Under Construction,T. Nagar,4 BHK,Society5,3172,4,0,195.46
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society1,4903,5,1,161.23
Carpet Area,Ready To Move,Tambaram,2 BHK,Society2,1315,1,1,70.53
Built-up Area,Under Construction,Kodambakkam,3 BHK,Society2,2287,2,3,125.19
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society3,1526,3,3,86.72
Built-up Area,Under Construction,Adyar,1 BHK,Society4,622,1,3,26.74
Plot Area,Under Construction,Kodambakkam,4 BHK,Society2,4667,3,1,311.23
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society2,937,2,0,42.75
Built-up Area,Ready To Move,Tambaram,1 BHK,Society4,695,2,1,30.48
Built-up Area,Under Construction,Tambaram,2 BHK,Society5,1973,2,0,111.55
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society3,3204,4,3,199.31
Carpet Area,Under Construction,Tambaram,5 BHK,Society3,4849,3,2,213.31
Carpet Area,Under Construction,Velachery,1 BHK,Society4,698,1,0,32.97
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society3,1375,1,1,80.89
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society1,1123,2,0,38.82
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society4,2271,2,2,91.2
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society3,854,1,1,21.52
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society5,2298,1,1,76.81
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society3,1404,1,1,45.64
Built-up Area,Under Construction,Adyar,3 BHK,Society3,2231,4,3,63.45
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society1,1122,2,0,37.56
Carpet Area,Ready To Move,Tambaram,2 BHK,Society4,2306,1,1,110.17
Plot Area,Under Construction,Nungambakkam,2 BHK,Society5,1182,1,0,78.7
Carpet Area,Under Construction,Velachery,2 BHK,Society5,1287,3,0,64.62
Built-up Area,Under Construction,Sholinganallur,5 BHK,Society5,4224,4,3,118.42
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society5,2627,4,2,169.29
Plot Area,Ready To Move,Tambaram,1 BHK,Society4,844,2,2,47.6
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society2,3460,1,0,124.01
Plot Area,Under Construction,Kodambakkam,4 BHK,Society1,3122,3,2,136.67
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1404,1,3,86.8
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,1759,3,2,48.69
Carpet Area,Under Construction,Velachery,4 BHK,Society2,2806,3,2,90.96
Plot Area,Ready To Move,Tambaram,4 BHK,Society1,4467,3,2,269.84
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society4,2548,2,3,144.95
Carpet Area,Under Construction,Adyar,5 BHK,Society5,3080,1,0,209.67
Plot Area,Under Construction,Kodambakkam,4 BHK,Society1,3523,2,1,107.07
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society1,534,1,3,33.29
Built-up Area,Under Construction,T. Nagar,3 BHK,Society1,3138,2,2,84.31
Plot Area,Ready To Move,Adyar,3 BHK,Society2,2827,3,0,124.81
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society5,1633,1,2,61.74
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society3,1226,1,2,36.52
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society3,1664,2,2,41.95
Plot Area,Under Construction,Adyar,3 BHK,Society2,2071,4,3,138.31
Plot Area,Ready To Move,Sholinganallur,5 BHK,Society3,4370,4,3,163.48
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society1,3675,5,3,171.29
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society2,2076,3,3,97.49
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society2,3856,1,2,224.56
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society3,4399,5,2,284.92
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society1,1231,3,2,53.28
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society4,1764,1,1,120.13
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society4,5360,5,2,248.16
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society3,3404,1,1,95.73
Plot Area,Under Construction,Tambaram,5 BHK,Society1,3981,5,0,247.23
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society4,1893,2,2,110.54
Carpet Area,Ready To Move,Adyar,2 BHK,Society1,2098,1,2,103.26
Plot Area,Ready To Move,Tambaram,3 BHK,Society3,3502,2,1,191.32
Carpet Area,Ready To Move,Tambaram,4 BHK,Society5,4251,3,2,206.9
Built-up Area,Under Construction,Medavakkam,3 BHK,Society3,1913,2,1,60.92
Built-up Area,Ready To Move,Velachery,5 BHK,Society5,5285,5,0,185.19
Built-up Area,Under Construction,Velachery,1 BHK,Society5,1020,2,2,69.09
Built-up Area,Ready To Move,Kodambakkam,4 BHK,Society4,2644,5,0,85.19
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society1,1900,3,2,93.93
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,5918,4,1,199.58
Plot Area,Under Construction,Sholinganallur,4 BHK,Society4,4755,3,3,213.39
Carpet Area,Ready To Move,Adyar,5 BHK,Society4,4448,3,2,192.19
Carpet Area,Under Construction,T. Nagar,5 BHK,Society4,5872,4,2,272.56
Plot Area,Under Construction,Anna Nagar,3 BHK,Society1,3357,3,2,184.04
Plot Area,Ready To Move,Medavakkam,1 BHK,Society1,741,1,3,35.19
Plot Area,Under Construction,Velachery,3 BHK,Society5,1598,4,2,92.67
Built-up Area,Under Construction,Adyar,2 BHK,Society1,1444,1,1,92.69
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society4,4688,5,2,199.87
Plot Area,Under Construction,T. Nagar,2 BHK,Society4,1169,1,0,72.85
Plot Area,Under Construction,Anna Nagar,2 BHK,Society2,1777,3,0,121.18
Plot Area,Under Construction,Sholinganallur,4 BHK,Society3,2235,3,3,141.83
Carpet Area,Ready To Move,Velachery,4 BHK,Society2,2078,4,0,106.01
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society4,2861,1,1,139.86
Built-up Area,Under Construction,T. Nagar,5 BHK,Society4,3774,2,2,124.11
Built-up Area,Under Construction,Adyar,4 BHK,Society2,2224,4,3,84.7
Built-up Area,Under Construction,Adyar,2 BHK,Society1,1721,2,0,68.41
Plot Area,Under Construction,Sholinganallur,5 BHK,Society1,2698,1,0,83.8
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society2,945,1,3,43.46
Plot Area,Ready To Move,Medavakkam,2 BHK,Society3,1383,2,1,56.15
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society4,2270,1,0,99.55
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society5,1260,2,3,50.23
Carpet Area,Under Construction,Tambaram,3 BHK,Society2,1746,3,1,93.12
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society5,1142,2,0,57.29
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society4,4100,5,3,158.77
Carpet Area,Ready To Move,Tambaram,5 BHK,Society1,4367,3,1,159.27
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society2,910,1,0,55.88
Plot Area,Ready To Move,Adyar,1 BHK,Society4,1165,2,2,47.91
Built-up Area,Ready To Move,Thiruvanmiyur,1 BHK,Society5,928,2,3,39.12
Plot Area,Under Construction,Velachery,3 BHK,Society4,2122,1,0,100.38
Plot Area,Under Construction,Tambaram,2 BHK,Society4,1618,2,3,105.66
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society5,802,1,0,36.34
Carpet Area,Under Construction,Velachery,1 BHK,Society3,609,1,1,38.52
Built-up Area,Under Construction,Adyar,5 BHK,Society1,5155,1,3,223.9
Plot Area,Ready To Move,Velachery,4 BHK,Society5,4538,5,2,287.0
Plot Area,Ready To Move,Sholinganallur,3 BHK,Society5,1775,2,0,97.06
Built-up Area,Ready To Move,Adyar,5 BHK,Society4,3750,4,0,236.47
Carpet Area,Ready To Move,Adyar,3 BHK,Society4,2083,3,0,96.05
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society1,2145,5,2,72.24
Plot Area,Under Construction,Sholinganallur,1 BHK,Society4,794,1,0,23.77
Built-up Area,Ready To Move,Kodambakkam,2 BHK,Society1,1302,3,3,73.46
Carpet Area,Ready To Move,Nungambakkam,5 BHK,Society2,3802,5,0,204.06
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society3,2800,4,0,96.24
Plot Area,Ready To Move,T. Nagar,5 BHK,Society2,5380,3,1,348.23
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society2,3067,4,0,81.16
Built-up Area,Ready To Move,Tambaram,1 BHK,Society5,785,2,2,22.53
Built-up Area,Under Construction,Velachery,5 BHK,Society5,2806,2,0,72.88
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,1083,2,1,38.71
Built-up Area,Ready To Move,Adyar,2 BHK,Society1,1458,2,0,56.1
Plot Area,Under Construction,Kodambakkam,2 BHK,Society5,2321,3,1,61.56
Carpet Area,Under Construction,Nungambakkam,1 BHK,Society1,869,2,3,37.59
Plot Area,Ready To Move,T. Nagar,1 BHK,Society5,887,2,3,44.01
Carpet Area,Ready To Move,Adyar,5 BHK,Society5,3845,5,1,238.85
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society1,3648,3,2,254.6
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,715,1,2,18.47
Built-up Area,Under Construction,Thiruvanmiyur,1 BHK,Society4,596,1,3,27.42
Plot Area,Under Construction,Sholinganallur,1 BHK,Society1,630,2,3,23.23
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society5,5901,4,3,391.43
